Application_number,Datum,Popis
2019-435,21.12.2015,podání žádosti o úplný průzkum
2019-435,28.06.2017,zveřejnění PV
2019-435,18.04.2018,publikace udělení patentu
2019-435,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33147,21.12.2015,podání přihlášky
2016-33147,21.12.2015,podání žádosti o úplný průzkum
2016-33147,28.06.2017,zveřejnění PV
2016-33147,18.04.2018,publikace udělení patentu
2016-33147,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33971,21.12.2015,podání přihlášky
2017-33971,21.12.2015,podání žádosti o úplný průzkum
2017-33971,28.06.2017,zveřejnění PV
2017-33971,18.04.2018,publikace udělení patentu
2017-33971,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34314,21.12.2015,podání přihlášky
2017-34314,21.12.2015,podání žádosti o úplný průzkum
2017-34314,28.06.2017,zveřejnění PV
2017-34314,18.04.2018,publikace udělení patentu
2017-34314,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34422,21.12.2015,podání přihlášky
2017-34422,21.12.2015,podání žádosti o úplný průzkum
2017-34422,28.06.2017,zveřejnění PV
2017-34422,18.04.2018,publikace udělení patentu
2017-34422,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35572,21.12.2015,podání přihlášky
2018-35572,21.12.2015,podání žádosti o úplný průzkum
2018-35572,28.06.2017,zveřejnění PV
2018-35572,18.04.2018,publikace udělení patentu
2018-35572,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35762,21.12.2015,podání přihlášky
2018-35762,21.12.2015,podání žádosti o úplný průzkum
2018-35762,28.06.2017,zveřejnění PV
2018-35762,18.04.2018,publikace udělení patentu
2018-35762,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-711,21.12.2015,podání přihlášky
2017-711,21.12.2015,podání žádosti o úplný průzkum
2017-711,28.06.2017,zveřejnění PV
2017-711,18.04.2018,publikace udělení patentu
2017-711,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-547,21.12.2015,podání přihlášky
2018-547,21.12.2015,podání žádosti o úplný průzkum
2018-547,28.06.2017,zveřejnění PV
2018-547,18.04.2018,publikace udělení patentu
2018-547,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-557,21.12.2015,podání přihlášky
2018-557,21.12.2015,podání žádosti o úplný průzkum
2018-557,28.06.2017,zveřejnění PV
2018-557,18.04.2018,publikace udělení patentu
2018-557,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-591,21.12.2015,podání přihlášky
2018-591,21.12.2015,podání žádosti o úplný průzkum
2018-591,28.06.2017,zveřejnění PV
2018-591,18.04.2018,publikace udělení patentu
2018-591,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27640,21.12.2015,podání přihlášky
2013-27640,21.12.2015,podání žádosti o úplný průzkum
2013-27640,28.06.2017,zveřejnění PV
2013-27640,18.04.2018,publikace udělení patentu
2013-27640,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28179,21.12.2015,podání přihlášky
2013-28179,21.12.2015,podání žádosti o úplný průzkum
2013-28179,28.06.2017,zveřejnění PV
2013-28179,18.04.2018,publikace udělení patentu
2013-28179,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28621,21.12.2015,podání přihlášky
2013-28621,21.12.2015,podání žádosti o úplný průzkum
2013-28621,28.06.2017,zveřejnění PV
2013-28621,18.04.2018,publikace udělení patentu
2013-28621,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28649,21.12.2015,podání přihlášky
2013-28649,21.12.2015,podání žádosti o úplný průzkum
2013-28649,28.06.2017,zveřejnění PV
2013-28649,18.04.2018,publikace udělení patentu
2013-28649,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28742,21.12.2015,podání přihlášky
2013-28742,21.12.2015,podání žádosti o úplný průzkum
2013-28742,28.06.2017,zveřejnění PV
2013-28742,18.04.2018,publikace udělení patentu
2013-28742,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29068,21.12.2015,podání přihlášky
2014-29068,21.12.2015,podání žádosti o úplný průzkum
2014-29068,28.06.2017,zveřejnění PV
2014-29068,18.04.2018,publikace udělení patentu
2014-29068,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29117,21.12.2015,podání přihlášky
2014-29117,21.12.2015,podání žádosti o úplný průzkum
2014-29117,28.06.2017,zveřejnění PV
2014-29117,18.04.2018,publikace udělení patentu
2014-29117,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29539,21.12.2015,podání přihlášky
2014-29539,21.12.2015,podání žádosti o úplný průzkum
2014-29539,28.06.2017,zveřejnění PV
2014-29539,18.04.2018,publikace udělení patentu
2014-29539,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29788,21.12.2015,podání přihlášky
2014-29788,21.12.2015,podání žádosti o úplný průzkum
2014-29788,28.06.2017,zveřejnění PV
2014-29788,18.04.2018,publikace udělení patentu
2014-29788,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29805,21.12.2015,podání přihlášky
2014-29805,21.12.2015,podání žádosti o úplný průzkum
2014-29805,28.06.2017,zveřejnění PV
2014-29805,18.04.2018,publikace udělení patentu
2014-29805,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29806,21.12.2015,podání přihlášky
2014-29806,21.12.2015,podání žádosti o úplný průzkum
2014-29806,28.06.2017,zveřejnění PV
2014-29806,18.04.2018,publikace udělení patentu
2014-29806,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29915,21.12.2015,podání přihlášky
2014-29915,21.12.2015,podání žádosti o úplný průzkum
2014-29915,28.06.2017,zveřejnění PV
2014-29915,18.04.2018,publikace udělení patentu
2014-29915,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29955,21.12.2015,podání přihlášky
2014-29955,21.12.2015,podání žádosti o úplný průzkum
2014-29955,28.06.2017,zveřejnění PV
2014-29955,18.04.2018,publikace udělení patentu
2014-29955,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29991,21.12.2015,podání přihlášky
2014-29991,21.12.2015,podání žádosti o úplný průzkum
2014-29991,28.06.2017,zveřejnění PV
2014-29991,18.04.2018,publikace udělení patentu
2014-29991,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29992,21.12.2015,podání přihlášky
2014-29992,21.12.2015,podání žádosti o úplný průzkum
2014-29992,28.06.2017,zveřejnění PV
2014-29992,18.04.2018,publikace udělení patentu
2014-29992,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29993,21.12.2015,podání přihlášky
2014-29993,21.12.2015,podání žádosti o úplný průzkum
2014-29993,28.06.2017,zveřejnění PV
2014-29993,18.04.2018,publikace udělení patentu
2014-29993,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30030,21.12.2015,podání přihlášky
2014-30030,21.12.2015,podání žádosti o úplný průzkum
2014-30030,28.06.2017,zveřejnění PV
2014-30030,18.04.2018,publikace udělení patentu
2014-30030,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30177,21.12.2015,podání přihlášky
2014-30177,21.12.2015,podání žádosti o úplný průzkum
2014-30177,28.06.2017,zveřejnění PV
2014-30177,18.04.2018,publikace udělení patentu
2014-30177,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31552,21.12.2015,podání přihlášky
2015-31552,21.12.2015,podání žádosti o úplný průzkum
2015-31552,28.06.2017,zveřejnění PV
2015-31552,18.04.2018,publikace udělení patentu
2015-31552,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31628,21.12.2015,podání přihlášky
2015-31628,21.12.2015,podání žádosti o úplný průzkum
2015-31628,28.06.2017,zveřejnění PV
2015-31628,18.04.2018,publikace udělení patentu
2015-31628,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32525,21.12.2015,podání přihlášky
2016-32525,21.12.2015,podání žádosti o úplný průzkum
2016-32525,28.06.2017,zveřejnění PV
2016-32525,18.04.2018,publikace udělení patentu
2016-32525,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32526,21.12.2015,podání přihlášky
2016-32526,21.12.2015,podání žádosti o úplný průzkum
2016-32526,28.06.2017,zveřejnění PV
2016-32526,18.04.2018,publikace udělení patentu
2016-32526,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32823,21.12.2015,podání přihlášky
2016-32823,21.12.2015,podání žádosti o úplný průzkum
2016-32823,28.06.2017,zveřejnění PV
2016-32823,18.04.2018,publikace udělení patentu
2016-32823,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-32832,21.12.2015,podání přihlášky
2016-32832,21.12.2015,podání žádosti o úplný průzkum
2016-32832,28.06.2017,zveřejnění PV
2016-32832,18.04.2018,publikace udělení patentu
2016-32832,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33443,21.12.2015,podání přihlášky
2017-33443,21.12.2015,podání žádosti o úplný průzkum
2017-33443,28.06.2017,zveřejnění PV
2017-33443,18.04.2018,publikace udělení patentu
2017-33443,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33681,21.12.2015,podání přihlášky
2017-33681,21.12.2015,podání žádosti o úplný průzkum
2017-33681,28.06.2017,zveřejnění PV
2017-33681,18.04.2018,publikace udělení patentu
2017-33681,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33759,21.12.2015,podání přihlášky
2017-33759,21.12.2015,podání žádosti o úplný průzkum
2017-33759,28.06.2017,zveřejnění PV
2017-33759,18.04.2018,publikace udělení patentu
2017-33759,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33967,21.12.2015,podání přihlášky
2017-33967,21.12.2015,podání žádosti o úplný průzkum
2017-33967,28.06.2017,zveřejnění PV
2017-33967,18.04.2018,publikace udělení patentu
2017-33967,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33971,21.12.2015,podání přihlášky
2017-33971,21.12.2015,podání žádosti o úplný průzkum
2017-33971,28.06.2017,zveřejnění PV
2017-33971,18.04.2018,publikace udělení patentu
2017-33971,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34289,21.12.2015,podání přihlášky
2017-34289,21.12.2015,podání žádosti o úplný průzkum
2017-34289,28.06.2017,zveřejnění PV
2017-34289,18.04.2018,publikace udělení patentu
2017-34289,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35572,21.12.2015,podání přihlášky
2018-35572,21.12.2015,podání žádosti o úplný průzkum
2018-35572,28.06.2017,zveřejnění PV
2018-35572,18.04.2018,publikace udělení patentu
2018-35572,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35762,21.12.2015,podání přihlášky
2018-35762,21.12.2015,podání žádosti o úplný průzkum
2018-35762,28.06.2017,zveřejnění PV
2018-35762,18.04.2018,publikace udělení patentu
2018-35762,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36160,21.12.2015,podání přihlášky
2019-36160,21.12.2015,podání žádosti o úplný průzkum
2019-36160,28.06.2017,zveřejnění PV
2019-36160,18.04.2018,publikace udělení patentu
2019-36160,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36278,21.12.2015,podání přihlášky
2019-36278,21.12.2015,podání žádosti o úplný průzkum
2019-36278,28.06.2017,zveřejnění PV
2019-36278,18.04.2018,publikace udělení patentu
2019-36278,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36367,21.12.2015,podání přihlášky
2019-36367,21.12.2015,podání žádosti o úplný průzkum
2019-36367,28.06.2017,zveřejnění PV
2019-36367,18.04.2018,publikace udělení patentu
2019-36367,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36414,21.12.2015,podání přihlášky
2019-36414,21.12.2015,podání žádosti o úplný průzkum
2019-36414,28.06.2017,zveřejnění PV
2019-36414,18.04.2018,publikace udělení patentu
2019-36414,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36415,21.12.2015,podání přihlášky
2019-36415,21.12.2015,podání žádosti o úplný průzkum
2019-36415,28.06.2017,zveřejnění PV
2019-36415,18.04.2018,publikace udělení patentu
2019-36415,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36416,21.12.2015,podání přihlášky
2019-36416,21.12.2015,podání žádosti o úplný průzkum
2019-36416,28.06.2017,zveřejnění PV
2019-36416,18.04.2018,publikace udělení patentu
2019-36416,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36429,21.12.2015,podání přihlášky
2019-36429,21.12.2015,podání žádosti o úplný průzkum
2019-36429,28.06.2017,zveřejnění PV
2019-36429,18.04.2018,publikace udělení patentu
2019-36429,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36456,21.12.2015,podání přihlášky
2019-36456,21.12.2015,podání žádosti o úplný průzkum
2019-36456,28.06.2017,zveřejnění PV
2019-36456,18.04.2018,publikace udělení patentu
2019-36456,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36457,21.12.2015,podání přihlášky
2019-36457,21.12.2015,podání žádosti o úplný průzkum
2019-36457,28.06.2017,zveřejnění PV
2019-36457,18.04.2018,publikace udělení patentu
2019-36457,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36458,21.12.2015,podání přihlášky
2019-36458,21.12.2015,podání žádosti o úplný průzkum
2019-36458,28.06.2017,zveřejnění PV
2019-36458,18.04.2018,publikace udělení patentu
2019-36458,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36460,21.12.2015,podání přihlášky
2019-36460,21.12.2015,podání žádosti o úplný průzkum
2019-36460,28.06.2017,zveřejnění PV
2019-36460,18.04.2018,publikace udělení patentu
2019-36460,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36656,21.12.2015,podání přihlášky
2019-36656,21.12.2015,podání žádosti o úplný průzkum
2019-36656,28.06.2017,zveřejnění PV
2019-36656,18.04.2018,publikace udělení patentu
2019-36656,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36684,21.12.2015,podání přihlášky
2019-36684,21.12.2015,podání žádosti o úplný průzkum
2019-36684,28.06.2017,zveřejnění PV
2019-36684,18.04.2018,publikace udělení patentu
2019-36684,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36743,21.12.2015,podání přihlášky
2019-36743,21.12.2015,podání žádosti o úplný průzkum
2019-36743,28.06.2017,zveřejnění PV
2019-36743,18.04.2018,publikace udělení patentu
2019-36743,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36792,21.12.2015,podání přihlášky
2019-36792,21.12.2015,podání žádosti o úplný průzkum
2019-36792,28.06.2017,zveřejnění PV
2019-36792,18.04.2018,publikace udělení patentu
2019-36792,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-36893,21.12.2015,podání přihlášky
2019-36893,21.12.2015,podání žádosti o úplný průzkum
2019-36893,28.06.2017,zveřejnění PV
2019-36893,18.04.2018,publikace udělení patentu
2019-36893,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37407,21.12.2015,podání přihlášky
2020-37407,21.12.2015,podání žádosti o úplný průzkum
2020-37407,28.06.2017,zveřejnění PV
2020-37407,18.04.2018,publikace udělení patentu
2020-37407,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37641,21.12.2015,podání přihlášky
2020-37641,21.12.2015,podání žádosti o úplný průzkum
2020-37641,28.06.2017,zveřejnění PV
2020-37641,18.04.2018,publikace udělení patentu
2020-37641,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37666,21.12.2015,podání přihlášky
2020-37666,21.12.2015,podání žádosti o úplný průzkum
2020-37666,28.06.2017,zveřejnění PV
2020-37666,18.04.2018,publikace udělení patentu
2020-37666,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37704,21.12.2015,podání přihlášky
2020-37704,21.12.2015,podání žádosti o úplný průzkum
2020-37704,28.06.2017,zveřejnění PV
2020-37704,18.04.2018,publikace udělení patentu
2020-37704,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37735,21.12.2015,podání přihlášky
2020-37735,21.12.2015,podání žádosti o úplný průzkum
2020-37735,28.06.2017,zveřejnění PV
2020-37735,18.04.2018,publikace udělení patentu
2020-37735,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37739,21.12.2015,podání přihlášky
2020-37739,21.12.2015,podání žádosti o úplný průzkum
2020-37739,28.06.2017,zveřejnění PV
2020-37739,18.04.2018,publikace udělení patentu
2020-37739,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37749,21.12.2015,podání přihlášky
2020-37749,21.12.2015,podání žádosti o úplný průzkum
2020-37749,28.06.2017,zveřejnění PV
2020-37749,18.04.2018,publikace udělení patentu
2020-37749,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37772,21.12.2015,podání přihlášky
2020-37772,21.12.2015,podání žádosti o úplný průzkum
2020-37772,28.06.2017,zveřejnění PV
2020-37772,18.04.2018,publikace udělení patentu
2020-37772,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37780,21.12.2015,podání přihlášky
2020-37780,21.12.2015,podání žádosti o úplný průzkum
2020-37780,28.06.2017,zveřejnění PV
2020-37780,18.04.2018,publikace udělení patentu
2020-37780,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37994,21.12.2015,podání přihlášky
2020-37994,21.12.2015,podání žádosti o úplný průzkum
2020-37994,28.06.2017,zveřejnění PV
2020-37994,18.04.2018,publikace udělení patentu
2020-37994,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-37999,21.12.2015,podání přihlášky
2020-37999,21.12.2015,podání žádosti o úplný průzkum
2020-37999,28.06.2017,zveřejnění PV
2020-37999,18.04.2018,publikace udělení patentu
2020-37999,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38001,21.12.2015,podání přihlášky
2020-38001,21.12.2015,podání žádosti o úplný průzkum
2020-38001,28.06.2017,zveřejnění PV
2020-38001,18.04.2018,publikace udělení patentu
2020-38001,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38077,21.12.2015,podání přihlášky
2020-38077,21.12.2015,podání žádosti o úplný průzkum
2020-38077,28.06.2017,zveřejnění PV
2020-38077,18.04.2018,publikace udělení patentu
2020-38077,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38200,21.12.2015,podání přihlášky
2020-38200,21.12.2015,podání žádosti o úplný průzkum
2020-38200,28.06.2017,zveřejnění PV
2020-38200,18.04.2018,publikace udělení patentu
2020-38200,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38213,21.12.2015,podání přihlášky
2020-38213,21.12.2015,podání žádosti o úplný průzkum
2020-38213,28.06.2017,zveřejnění PV
2020-38213,18.04.2018,publikace udělení patentu
2020-38213,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40048,21.12.2015,podání přihlášky
2022-40048,21.12.2015,podání žádosti o úplný průzkum
2022-40048,28.06.2017,zveřejnění PV
2022-40048,18.04.2018,publikace udělení patentu
2022-40048,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40105,21.12.2015,podání přihlášky
2022-40105,21.12.2015,podání žádosti o úplný průzkum
2022-40105,28.06.2017,zveřejnění PV
2022-40105,18.04.2018,publikace udělení patentu
2022-40105,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40106,21.12.2015,podání přihlášky
2022-40106,21.12.2015,podání žádosti o úplný průzkum
2022-40106,28.06.2017,zveřejnění PV
2022-40106,18.04.2018,publikace udělení patentu
2022-40106,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40449,21.12.2015,podání přihlášky
2022-40449,21.12.2015,podání žádosti o úplný průzkum
2022-40449,28.06.2017,zveřejnění PV
2022-40449,18.04.2018,publikace udělení patentu
2022-40449,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40562,21.12.2015,podání přihlášky
2022-40562,21.12.2015,podání žádosti o úplný průzkum
2022-40562,28.06.2017,zveřejnění PV
2022-40562,18.04.2018,publikace udělení patentu
2022-40562,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2022-40604,21.12.2015,podání přihlášky
2022-40604,21.12.2015,podání žádosti o úplný průzkum
2022-40604,28.06.2017,zveřejnění PV
2022-40604,18.04.2018,publikace udělení patentu
2022-40604,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-40690,21.12.2015,podání přihlášky
2023-40690,21.12.2015,podání žádosti o úplný průzkum
2023-40690,28.06.2017,zveřejnění PV
2023-40690,18.04.2018,publikace udělení patentu
2023-40690,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41194,21.12.2015,podání přihlášky
2023-41194,21.12.2015,podání žádosti o úplný průzkum
2023-41194,28.06.2017,zveřejnění PV
2023-41194,18.04.2018,publikace udělení patentu
2023-41194,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41214,21.12.2015,podání přihlášky
2023-41214,21.12.2015,podání žádosti o úplný průzkum
2023-41214,28.06.2017,zveřejnění PV
2023-41214,18.04.2018,publikace udělení patentu
2023-41214,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41369,21.12.2015,podání přihlášky
2023-41369,21.12.2015,podání žádosti o úplný průzkum
2023-41369,28.06.2017,zveřejnění PV
2023-41369,18.04.2018,publikace udělení patentu
2023-41369,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2023-41424,21.12.2015,podání přihlášky
2023-41424,21.12.2015,podání žádosti o úplný průzkum
2023-41424,28.06.2017,zveřejnění PV
2023-41424,18.04.2018,publikace udělení patentu
2023-41424,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-41732,21.12.2015,podání přihlášky
2024-41732,21.12.2015,podání žádosti o úplný průzkum
2024-41732,28.06.2017,zveřejnění PV
2024-41732,18.04.2018,publikace udělení patentu
2024-41732,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-41846,21.12.2015,podání přihlášky
2024-41846,21.12.2015,podání žádosti o úplný průzkum
2024-41846,28.06.2017,zveřejnění PV
2024-41846,18.04.2018,publikace udělení patentu
2024-41846,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2024-41872,21.12.2015,podání přihlášky
2024-41872,21.12.2015,podání žádosti o úplný průzkum
2024-41872,28.06.2017,zveřejnění PV
2024-41872,18.04.2018,publikace udělení patentu
2024-41872,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-1020,21.12.2015,podání přihlášky
2013-1020,21.12.2015,podání žádosti o úplný průzkum
2013-1020,28.06.2017,zveřejnění PV
2013-1020,18.04.2018,publikace udělení patentu
2013-1020,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-128,21.12.2015,podání přihlášky
2013-128,21.12.2015,podání žádosti o úplný průzkum
2013-128,28.06.2017,zveřejnění PV
2013-128,18.04.2018,publikace udělení patentu
2013-128,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-210,21.12.2015,podání přihlášky
2013-210,21.12.2015,podání žádosti o úplný průzkum
2013-210,28.06.2017,zveřejnění PV
2013-210,18.04.2018,publikace udělení patentu
2013-210,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-314,21.12.2015,podání přihlášky
2013-314,21.12.2015,podání žádosti o úplný průzkum
2013-314,28.06.2017,zveřejnění PV
2013-314,18.04.2018,publikace udělení patentu
2013-314,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-501,21.12.2015,podání přihlášky
2013-501,21.12.2015,podání žádosti o úplný průzkum
2013-501,28.06.2017,zveřejnění PV
2013-501,18.04.2018,publikace udělení patentu
2013-501,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-812,21.12.2015,podání přihlášky
2013-812,21.12.2015,podání žádosti o úplný průzkum
2013-812,28.06.2017,zveřejnění PV
2013-812,18.04.2018,publikace udělení patentu
2013-812,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-909,21.12.2015,podání přihlášky
2013-909,21.12.2015,podání žádosti o úplný průzkum
2013-909,28.06.2017,zveřejnění PV
2013-909,18.04.2018,publikace udělení patentu
2013-909,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-479,21.12.2015,podání přihlášky
2014-479,21.12.2015,podání žádosti o úplný průzkum
2014-479,28.06.2017,zveřejnění PV
2014-479,18.04.2018,publikace udělení patentu
2014-479,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-498,21.12.2015,podání přihlášky
2014-498,21.12.2015,podání žádosti o úplný průzkum
2014-498,28.06.2017,zveřejnění PV
2014-498,18.04.2018,publikace udělení patentu
2014-498,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-508,21.12.2015,podání přihlášky
2014-508,21.12.2015,podání žádosti o úplný průzkum
2014-508,28.06.2017,zveřejnění PV
2014-508,18.04.2018,publikace udělení patentu
2014-508,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-510,21.12.2015,podání přihlášky
2014-510,21.12.2015,podání žádosti o úplný průzkum
2014-510,28.06.2017,zveřejnění PV
2014-510,18.04.2018,publikace udělení patentu
2014-510,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-621,21.12.2015,podání přihlášky
2014-621,21.12.2015,podání žádosti o úplný průzkum
2014-621,28.06.2017,zveřejnění PV
2014-621,18.04.2018,publikace udělení patentu
2014-621,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-671,21.12.2015,podání přihlášky
2014-671,21.12.2015,podání žádosti o úplný průzkum
2014-671,28.06.2017,zveřejnění PV
2014-671,18.04.2018,publikace udělení patentu
2014-671,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-675,21.12.2015,podání přihlášky
2014-675,21.12.2015,podání žádosti o úplný průzkum
2014-675,28.06.2017,zveřejnění PV
2014-675,18.04.2018,publikace udělení patentu
2014-675,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-372,21.12.2015,podání přihlášky
2015-372,21.12.2015,podání žádosti o úplný průzkum
2015-372,28.06.2017,zveřejnění PV
2015-372,18.04.2018,publikace udělení patentu
2015-372,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-631,21.12.2015,podání přihlášky
2015-631,21.12.2015,podání žádosti o úplný průzkum
2015-631,28.06.2017,zveřejnění PV
2015-631,18.04.2018,publikace udělení patentu
2015-631,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-704,21.12.2015,podání přihlášky
2015-704,21.12.2015,podání žádosti o úplný průzkum
2015-704,28.06.2017,zveřejnění PV
2015-704,18.04.2018,publikace udělení patentu
2015-704,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-820,21.12.2015,podání přihlášky
